City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,mount isa,-20.7333,139.5,39.87,22,75,2.57,AU,2024-01-03
310,coruripe,-10.1256,-36.1756,25.8,85,61,5.21,BR,2024-01-03
311,villadose,45.0689,11.8933,7.26,84,100,2.09,IT,2024-01-03
312,broome,42.2506,-75.833,-0.18,84,100,3.09,US,2024-01-03
313,devils lake,48.1128,-98.8651,-6.01,86,100,4.63,US,2024-01-03
314,dolisie,-4.1997,12.6739,23.46,95,100,0.89,CG,2024-01-03
315,sur,22.5667,59.5289,26.38,47,0,2.55,OM,2024-01-03
316,joshua tree,34.1347,-116.3131,10.86,64,3,8.05,US,2024-01-03
317,colac,-38.3333,143.5833,18.43,94,89,3.48,AU,2024-01-03
318,rusera,25.75,86.0333,24.39,24,0,2.21,IN,2024-01-03
319,roma,43.2128,-75.4557,1.64,79,100,0.89,US,2024-01-03
320,gobabis,-22.45,18.9667,30.4,26,28,1.62,NA,2024-01-03
321,chuzhou,32.3219,118.2978,7.8,54,0,2.05,CN,2024-01-03
322,gamba,-2.65,10.0,28.48,72,79,1.68,GA,2024-01-03
323,sidareja,-7.4846,108.7923,28.32,85,99,1.83,ID,2024-01-03
324,natal,-5.795,-35.2094,24.36,94,20,1.54,BR,2024-01-03
325,sault ste. marie,46.5168,-84.3333,0.16,90,100,5.66,CA,2024-01-03
326,south bay,26.664,-80.7162,12.23,72,100,1.74,US,2024-01-03
327,sisimiut,66.9395,-53.6735,-6.36,68,100,6.24,GL,2024-01-03
328,pasighat,28.0667,95.3333,24.02,34,1,1.39,IN,2024-01-03
329,zonguldak,41.25,31.8333,7.47,70,100,1.47,TR,2024-01-03
330,opopeo,19.4,-101.6,8.32,38,100,0.5,MX,2024-01-03
331,balqash,46.8481,74.995,-9.67,92,0,4.0,KZ,2024-01-03
332,wichian buri,15.6578,101.106,33.31,30,14,4.53,TH,2024-01-03
333,kashgar,39.4547,75.9797,2.16,35,99,1.14,CN,2024-01-03
334,tual,-5.6667,132.75,27.6,80,100,3.62,ID,2024-01-03
335,nasice,45.4886,18.0878,11.08,81,100,4.04,HR,2024-01-03
336,kafanchan,9.5833,8.3,30.89,16,50,1.1,NG,2024-01-03
337,borkum,53.5809,6.6915,8.86,91,100,13.38,DE,2024-01-03
338,corner brook,48.9667,-57.9484,-2.68,95,99,1.77,CA,2024-01-03
339,berdigestyakh,62.0989,126.6992,-34.25,100,98,0.68,RU,2024-01-03
340,falakata,26.5208,89.2055,25.0,37,0,0.93,IN,2024-01-03
341,flying fish cove,-10.4217,105.6791,27.82,78,75,3.6,CX,2024-01-03
342,al hamul,31.3115,31.1477,20.13,54,59,3.88,EG,2024-01-03
